KAROL; 0; 0
DAS; 0; 0
ADAS; 0; 0
KAROLINKAMALA; 0; 0
KAROLINKA; 0; 0
RADEK; 0; 0
AS; 0; 0
HEHE; 0; 0
HASD; 0; 0
SADW; 0; 0
SA; 0; 0
HEHASD; 0; 0
KAQWE; 0; 0
KJKJ; 0; 0
ADSDAS; 0; 0
SADA; 0; 0
SAD; 0; 0
WSADA; 0; 0
SDA; 0; 0
SAD2QWQ; 0; 0
SDW1; 0; 0
DSADWQ; 0; 0
31412SA; 0; 0
SAD12; 0; 0
ASDADW; 0; 0
SADAS; 0; 0
ASA; 0; 0
QWQW; 0; 0
DSA; 0; 0
45; 0; 0
213; 0; 0
Z; 0; 0
WWQ; 0; 0
L;'; 0; 0
321DSA; 0; 0
JH;; 0; 0
54; 0; 0
4; 0; 0
48; 0; 0
5; 0; 0
31; 0; 0
ASD; 0; 0
DA; 0; 0
SDAD; 0; 0
213\; 0; 0
WQD; 0; 0
DWQ; 0; 0
452131; 0; 0
WSX; 0; 0
DQW; 0; 0
321; 0; 0
ADS; 0; 0
65; 0; 0
454; 0; 0
EFA; 0; 0
JH; 0; 0
SASSD; 0; 0
EQ; 0; 0
